Name,Cluster_Name,Cluster
Shabazz Muhammad,Versatile Wings,0
Shabazz Napier,PnR/Ball handling Guards,1
Shane Larkin,PnR/Ball handling Guards,1
Shaun Livingston,Versatile Wings,0
Shelvin Mack,PnR/Ball handling Guards,1
Solomon Hill,Perimeter Wings,6
Sonny Weems,C&S Guards,4
Spencer Dinwiddie,PnR/Ball handling Guards,1
Spencer Hawes,Stretch 4s,3
Stanley Johnson,C&S Guards,4
Stephen Curry,PnR/Ball handling Guards,1
Steve Blake,PnR/Ball handling Guards,1
Steven Adams,Rolling Bigs,2
T.J. McConnell,PnR/Ball handling Guards,1
T.J. Warren,C&S Guards,4
Taj Gibson,Post-Up Bigs,5
Tarik Black,Rolling Bigs,2
Tayshaun Prince,Perimeter Wings,6
Terrence Jones,Stretch 4s,3
Terrence Ross,Perimeter Wings,6
Thabo Sefolosha,Perimeter Wings,6
Thaddeus Young,Post-Up Bigs,5
Thomas Robinson,Rolling Bigs,2
Tiago Splitter,Rolling Bigs,2
Tim Duncan,Post-Up Bigs,5
Tim Frazier,PnR/Ball handling Guards,1
Tim Hardaway Jr.,Perimeter Wings,6
Timofey Mozgov,Rolling Bigs,2
Tobias Harris,Versatile Wings,0
Toney Douglas,PnR/Ball handling Guards,1
Tony Allen,Stretch 4s,3
Tony Parker,PnR/Ball handling Guards,1
Tony Snell,C&S Guards,4
Tony Wroten,PnR/Ball handling Guards,1
Trevor Ariza,Perimeter Wings,6
Trevor Booker,Stretch 4s,3
Trey Burke,PnR/Ball handling Guards,1
Trey Lyles,Perimeter Wings,6
Tristan Thompson,Rolling Bigs,2
Troy Daniels,Perimeter Wings,6
Ty Lawson,C&S Guards,4
Tyler Ennis,PnR/Ball handling Guards,1
Tyler Johnson,C&S Guards,4
Tyler Zeller,Rolling Bigs,2
Tyreke Evans,PnR/Ball handling Guards,1
Tyson Chandler,Rolling Bigs,2
Tyus Jones,PnR/Ball handling Guards,1
Victor Oladipo,PnR/Ball handling Guards,1
Vince Carter,Versatile Wings,0
Wayne Ellington,C&S Guards,4
Wesley Johnson,Perimeter Wings,6
Wesley Matthews,Perimeter Wings,6
Will Barton,C&S Guards,4
Willie Cauley-Stein,Rolling Bigs,2
Willie Reed,Rolling Bigs,2
Xavier Munford,PnR/Ball handling Guards,1
Zach LaVine,PnR/Ball handling Guards,1
Zach Randolph,Post-Up Bigs,5
Zaza Pachulia,Rolling Bigs,2
